Título:;ACTIVIDADES FORMATIVAS CEP;;;;;;
Autor:;Aplicación Séneca, CONSEJERÍA DE EDUCACIÓN Y DEPORTE, Junta de Andalucía;;;;;;
Fecha de creación:;26/05/2020 - 08:53;;;;;;
;;;;;;;
Centro;Código;Título;Modalidad;Estado;Fecha inicio;Fecha fin;Dirigido a
29200026-CEP Marbella - Coín;202923GE977;PRIMEROS AUXILIOS EN URGENCIAS MÁS FRECUENTES (ZONA XXX);Curso con Seguimiento;Borrador;22/04/2020;06/05/2020;Internivelar
29200026-CEP Marbella - Coín;202923GE978;PODCAST Y A DORMIR;Curso Semipresencial;Borrador;15/03/2020;05/06/2020;Internivelar
29200026-CEP Marbella - Coín;202923IC610;JORNADA PROVINCIAL DE PLURILINGÜISMO;Jornadas;Suspendida;15/04/2020;15/04/2020;Internivelar
29200026-CEP Marbella - Coín;202923PA016;COMUNIDADES DE APRENDIZAJE. FASE DE SENSIBILIZACIÓN (I);Curso a Distancia;Terminada;01/11/2019;29/02/2020;Internivelar
29200026-CEP Marbella - Coín;202923PI013;FORMACIÓN PARA EL PROFESORADO GENERAL: ESTRATEGIAS DE EVALUACIÓN EN FRANCÉS LENGUA EXTRANJERA;Curso Semipresencial;Suspendida;11/03/2020;06/05/2020;Educación primaria
29200026-CEP Marbella - Coín;202923PI018;FORMACIÓN PARA EL PROFESORADO GENERAL: ESTRATEGIAS DE EVALUACIÓN EN FRANCÉS LENGUA EXTRANJERA;Curso Semipresencial;Suspendida;11/03/2020;06/05/2020;Educación secundaria obligatoria
29200026-CEP Marbella - Coín;209900PI010;JORNADA PROVINCIAL ETWINNING;Jornadas;Suspendida;19/03/2020;19/03/2020;Internivelar
29200026-CEP Marbella - Coín;209923CI003;ASESORAMIENTO A LA RED DE COORDINACIÓN DEL PLAN DE IGUALDAD DE LA ZONA EDUCATIVA;Curso Semipresencial;Terminada;28/10/2019;29/05/2020;Internivelar
29200026-CEP Marbella - Coín;209923DIG050;JORNADAS DE ASESORAMIENTO PARA EL PROGRAMA PRODIG;Jornadas;Actividad en desarrollo;16/09/2019;30/06/2020;Internivelar
29200026-CEP Marbella - Coín;209923ECO050;JORNADAS DE ASESORAMIENTO PARA EL PROGRAMA ECOESCUELAS;Jornadas;Actividad en desarrollo;18/11/2019;30/06/2020;Internivelar
29200026-CEP Marbella - Coín;209923FP006;JORNADA DE FORMACIÓN FP DUAL;Otros;Terminada;21/10/2019;21/10/2019;Form. profesional y art. plast. y diseño
29200026-CEP Marbella - Coín;209923FP012;CURSO DE FORMACIÓN DE GEMELO DIGITAL Y VIRTUAL APLICADO A LA INDUSTRIA 4.0;Curso;Terminada;26/11/2019;04/12/2019;Form. profesional y art. plast. y diseño
29200026-CEP Marbella - Coín;209923KPF163;USO DE SÉNECA PARA LA EVALUACIÓN POR COMPETENCIAS EN SECUNDARIA;Curso a Distancia;Borrador;15/04/2020;06/05/2020;Internivelar
29200026-CEP Marbella - Coín;209923KRH013;INICIACIÓN A LA PREVENCIÓN DE RIESGOS LABORALES EN LA DOCENCIA;Curso a Distancia;Terminada;15/01/2020;19/02/2020;Internivelar
29200026-CEP Marbella - Coín;209923LIN001;JORNADA DE FORMADOR DE FORMADORES EN DEBATE EDUCATIVO;Jornadas;Terminada;21/10/2019;07/11/2019;Otros
29200026-CEP Marbella - Coín;209923LIN002;EL DEBATE COMO HERRAMIENTA CURRICULAR;Curso con Seguimiento;Borrador;01/11/2019;15/01/2020;Otros
29200026-CEP Marbella - Coín;209923LIN003;FORMACIÓN DESTINADA A JUECES Y JUEZAS DE DEBATE;Curso Semipresencial;Terminada;01/01/2020;15/02/2020;Otros
29200026-CEP Marbella - Coín;209923LIN004;DINAMIZACIÓN DEL II TORNEO DE DEBATE EDUCATIVO DE LA PROVINCIA DE MÁLAGA;Otros;Actividad en desarrollo;01/01/2020;31/03/2020;Educación secundaria obligatoria
29200026-CEP Marbella - Coín;209923PF004;FORMACIÓN DEL PERSONAL FUNCIONARIO EN PRÁCTICAS 2019-20. FASE PRESENCIAL;Curso;Terminada;01/11/2019;31/03/2020;Internivelar
29200026-CEP Marbella - Coín;209923PI002;MÓDULO BÁSICO: REDACCIÓN DE PROYECTOS ERASMUS+;Curso Semipresencial;Terminada;03/12/2019;30/01/2020;Internivelar
29200026-CEP Marbella - Coín;209923PLC050;JORNADAS DE ASESORAMIENTO PARA EL PROGRAMA PROYECTO LINGÜÍSTICO DE CENTRO;Jornadas;Actividad en desarrollo;16/09/2019;30/06/2020;Otros
29200026-CEP Marbella - Coín;209923QAV147;USO DE LA PLATAFORMA MOODLE CENTROS;Curso a Distancia;Borrador;15/04/2020;13/05/2020;Internivelar
29200026-CEP Marbella - Coín;209923RH013;INICIACIÓN A LA PREVENCIÓN DE RIESGOS LABORALES EN LA DOCENCIA;Curso a Distancia;Borrador;13/01/2020;28/02/2020;Internivelar
29200026-CEP Marbella - Coín;209923WAV147;USO DE LA PLATAFORMA MOODLE CENTROS;Curso a Distancia;Terminada;15/04/2020;13/05/2020;Internivelar
29200014-CEP Málaga;20K9922AV090;DALE LA VUELTA A TU CLASE (FLIPPED CLASSROOM);Curso a Distancia;Terminada;30/10/2019;11/12/2019;Internivelar
29200014-CEP Málaga;20Q9922AV090;DALE LA VUELTA A TU CLASE (FLIPPED CLASSROOM);Curso a Distancia;Terminada;04/02/2020;24/03/2020;Internivelar
29200014-CEP Málaga;20W9922AV090;DALE LA VUELTA A TU CLASE (FLIPPED CLASSROOM);Curso a Distancia;Actividad en desarrollo;15/04/2020;27/05/2020;Internivelar
29200014-CEP Málaga;202922GE001;DISEÑO Y FABRICACIÓN DE ELEMENTOS PARA LA CONSTRUCCIÓN EN MADERA;Curso;Terminada;03/09/2019;01/10/2019;Form. profesional y art. plast. y diseño
29200014-CEP Málaga;202922GE002;INSTALACIÓN DE SISTEMAS CON PLACAS DE YESO LAMINADO;Curso con Seguimiento;Terminada;10/09/2019;01/10/2019;Form. profesional y art. plast. y diseño
29200014-CEP Málaga;202922GE003;INTRODUCCIÓN A  SALESFORCE;Curso;Terminada;05/09/2019;01/10/2019;Form. profesional y art. plast. y diseño
29200014-CEP Málaga;202922GE005;GESTIÓN DE ZONAS VERDES CON GIS;Curso Semipresencial;Terminada;05/09/2019;15/10/2019;Form. profesional y art. plast. y diseño
29200014-CEP Málaga;202922GE006;PROGRAMACIÓN, EVALUACIÓN Y GESTIÓN DEL AULA;Curso;Terminada;07/10/2019;21/10/2019;Form. profesional y art. plast. y diseño
29200014-CEP Málaga;202922GE007;TECNOLOGÍAS DE PROPULSIÓN EN VEHÍCULOS HÍBRIDOS Y VEHÍCULOS 100% ELÉCTRICOS;Curso;Terminada;04/09/2019;01/10/2019;Form. profesional y art. plast. y diseño
29200014-CEP Málaga;202922GE012;I CONGRESO INTERNACIONAL DE PRÁCTICAS INNOVADORAS EN EDUCACIÓN INFANTIL;Congreso;Suspendida;11/06/2020;13/06/2020;Educación infantil
29200014-CEP Málaga;202922GE013;INMERSIÓN MOODLE CURSO 2019-20;Curso;Terminada;16/10/2019;23/10/2019;Educación Permanente
29200014-CEP Málaga;202922GE022;ENCUENTRO DUALIZA MÁLAGA. PRESENTE Y FUTURO DE LA FORMACIÓN PROFESIONAL DUAL EN MÁLAGA;Encuentro;Borrador;29/10/2019;29/10/2019;Form. profesional y art. plast. y diseño
29200014-CEP Málaga;202922GE023;INTERNACIONALIZACIÓN EN LA FORMACIÓN PROFESIONAL:  ORGANIZACIÓN, OPORTUNIDADES Y FUTURO;Curso con Seguimiento;Terminada;22/10/2019;05/11/2019;Form. profesional y art. plast. y diseño
29200014-CEP Málaga;202922GE024;NIVEL BÁSICO DE PREVENCIÓN EN CONSTRUCCIÓN;Curso Semipresencial;Terminada;05/11/2019;10/12/2019;Form. profesional y art. plast. y diseño
29200014-CEP Málaga;202922GE030;XIII JORNADAS ANDALUZAS DE LA ENSEÑANZA DE LA ECONOMÍA EN SECUNDARIA;Jornadas;Terminada;14/02/2020;15/02/2020;Educación secundaria obligatoria
29200014-CEP Málaga;202922GE051;INTERVENCIÓN EN ALUMNADO TEA GRAVEMENTE AFECTADO;Curso con Seguimiento;Terminada;05/11/2019;26/11/2019;Orientación educativa
29200014-CEP Málaga;202922GE053;JORNADA DE LA RED MALAGUEÑA DE MEDIACIÓN;Jornadas;Terminada;07/11/2019;07/11/2019;Internivelar
29200014-CEP Málaga;202922GE062;II JORNADAS PROVINCIALES DEL PROFESORADO DE RELIGIÓN;Jornadas;Suspendida;23/05/2020;23/05/2020;Internivelar
29200014-CEP Málaga;202922GE063;PRÁCTICA DEL COMPÁS FLAMENCO: APLICACIÓN PRÁCTICA, DIDÁCTICA Y ARMONÍA;Curso;Terminada;04/10/2019;08/11/2019;Enseñanzas de regimen especial
29200014-CEP Málaga;202922GE064;GESTIÓN DEL ESTRÉS EN ARE;Curso;Terminada;21/10/2019;30/10/2019;Enseñanzas de regimen especial
29200014-CEP Málaga;202922GE065;METODOLOGÍA Y PROFUNDIZACIÓN DEL ''CONTACT IMPROVISATION'' COMO METODOLOGÍA DE LA DANZA CONTEMPORÁNEA;Curso;Terminada;10/09/2019;12/09/2019;Enseñanzas de regimen especial
29200014-CEP Málaga;202922GE066;I CONGRESO NACIONAL SOBRE INVESTIGACIÓN  EN MÚSICA Y ARTES ESCÉNICAS;Congreso;Suspendida;14/03/2020;15/03/2020;Enseñanzas de regimen especial
29200014-CEP Málaga;202922GE067;SKETCHUP AVANZADO PARA ESCUELAS DE ARTE;Curso;Terminada;10/09/2019;11/09/2019;Enseñanzas de regimen especial
29200014-CEP Málaga;202922GE092;IV ENCUENTRO REGIONAL DEL PROFESORADO DE ESPAÑOL PARA EXTRANJEROS DE EEOOII DE ANDALUCÍA;Encuentro;Terminada;21/02/2020;21/02/2020;Educación Permanente
29200014-CEP Málaga;202922GE101;REGULACIÓN Y CONTROL EN LA INDUSTRIA FARMACÉUTICA, BIOTECNOLÓGICA Y AFINES;Curso;Terminada;20/11/2019;12/12/2019;Form. profesional y art. plast. y diseño
29200014-CEP Málaga;202922GE116;JORNADA PRIMER CICLO DE EDUCACIÓN INFANTIL;Jornadas;Suspendida;20/03/2020;20/03/2020;Equipos directivos
29200014-CEP Málaga;202922GE119;FORMACIÓN PARA ORIENTACIÓN EDUCATIVA NOVEL;Curso;Actividad en desarrollo;10/02/2020;02/04/2020;Orientación educativa
29200014-CEP Málaga;202922GE126;EDUCACIÓN. I CONGRESO INTERNACIONAL DE EDUCACIÓN;Congreso;Suspendida;18/03/2020;19/03/2020;Internivelar
29200014-CEP Málaga;202922GE127;I CONGRESO INTERNACIONAL DE PRÁCTICAS INNOVADORAS EN EDUCACIÓN INFANTIL DE 0 A 3 AÑOS;Congreso;Suspendida;23/04/2020;25/04/2020;Educación infantil
29200014-CEP Málaga;202922GE136;FUNCIONAMIENTO DE CAJAS DE CAMBIO AUTOMÁTICAS Y ROBOTIZADAS;Curso;Suspendida;19/05/2020;02/06/2020;Form. profesional y art. plast. y diseño
29200014-CEP Málaga;202922GE139;SOFT SKILLS: LAS COMPETENCIAS MÁS DEMANDADAS POR LAS EMPRESAS 2020;Curso;Suspendida;23/03/2020;16/04/2020;Form. profesional y art. plast. y diseño
29200014-CEP Málaga;202922GE140;LAS PRÁCTICAS RECOMENDADAS EN ATENCIÓN TEMPRANA;Jornadas;Suspendida;15/04/2020;15/04/2020;Internivelar
29200014-CEP Málaga;202922GE141;ASESORAMIENTO A LOS CENTROS EDUCATIVOS POR EL SERVICIO DE INSPECCIÓN EDUCATIVA;Curso;Suspendida;15/05/2020;22/05/2020;Inspección educativa
29200014-CEP Málaga;202922GE142;SUMILLERÍA: VINOS INTERNACIONALES;Curso;Suspendida;14/04/2020;12/05/2020;Form. profesional y art. plast. y diseño
29200014-CEP Málaga;202922GE143;HERRAMIENTAS PROFESIONALES PARA TRABAJAR EN ENTORNO REMOTO;Curso a Distancia;Terminada;15/04/2020;11/05/2020;Form. profesional y art. plast. y diseño
29200014-CEP Málaga;202922GE144;FORTECO. 1.3.2. LANZAMIENTO KUGA PHEV - HÍBRIDO ENCHUFABLE;Curso;Suspendida;13/07/2020;14/07/2020;Form. profesional y art. plast. y diseño
29200014-CEP Málaga;202922GE145;FORTECO.- 1.3.3 TÉCNICO ALTA TENSIÓN;Curso;Borrador;06/07/2020;08/07/2020;Form. profesional y art. plast. y diseño
29200014-CEP Málaga;202922GE146;FORTECO. 1.3.5 TÉCNICO ALTA TENSIÓN HVT;Curso;Suspendida;08/07/2020;09/07/2020;Form. profesional y art. plast. y diseño
29200014-CEP Málaga;202922GE147;FORTECO. 1.4.1 NUEVA GENERACIÓN DE VEHÍCULOS ELÉCTRICOS;Curso;Suspendida;13/07/2020;16/07/2020;Form. profesional y art. plast. y diseño
29200014-CEP Málaga;202922GE148;FORTECO. 4.1.1 DIAGNÓSTICO SOBRE VEHÍCULO;Curso;Suspendida;20/07/2020;22/07/2020;Form. profesional y art. plast. y diseño
29200014-CEP Málaga;202922GE149;FORTECO. 4.1.2 GESTIÓN DE LA ENERGÍA;Curso;Suspendida;01/07/2020;03/07/2020;Form. profesional y art. plast. y diseño
29200014-CEP Málaga;202922GE150;FORTECO. 5.1.1 CURSO A DISTANCIA DE CARROCERÍA;Curso a Distancia;Actividad en desarrollo;04/05/2020;05/06/2020;Form. profesional y art. plast. y diseño
29200014-CEP Málaga;202922GE151;FORTECO. 5.1.2 NUEVOS PROCESOS DE PREPARACIÓN Y ACABADO;Curso;Suspendida;01/07/2020;01/07/2020;Form. profesional y art. plast. y diseño
29200014-CEP Málaga;202922GE152;FORTECO. 5.1.3 VOLKSWAGEN GROUP ALUMINUN WORKSHOP;Curso;Suspendida;08/07/2020;09/07/2020;Form. profesional y art. plast. y diseño
29200014-CEP Málaga;202922GE153;FORTECO. 5.2.2 CURSO DE RM;Curso;Suspendida;30/06/2020;01/07/2020;Form. profesional y art. plast. y diseño
29200014-CEP Málaga;202922GE154;HERRAMIENTAS PROFESIONALES PARA TRABAJAR EN ENTORNO REMOTO (Segunda Edición).;Curso a Distancia;Actividad en desarrollo;11/05/2020;12/06/2020;Form. profesional y art. plast. y diseño
29200014-CEP Málaga;202922GE160;LELENET CONFERENCE MALAGA 2020;Conferencia;Abierto plazo solicitudes;10/06/2020;10/06/2020;Equipos directivos
29200014-CEP Málaga;209922BE001;JORNADAS REDES PROVINCIALES DE BIBLIOTECAS ESCOLARES;Jornadas;Suspendida;07/05/2020;07/05/2020;Internivelar
29200014-CEP Málaga;209922BE002;DINAMIZACIÓN DE LA RED DE BIBLIOTECAS ESCOLARES DE LA PROVINCIA DE MÁLAGA;Otros;Actividad en desarrollo;01/09/2019;31/07/2020;Internivelar
29200014-CEP Málaga;209922CI005A;IMPULSA FORMACIÓN;Curso Semipresencial;Actividad en desarrollo;02/03/2020;30/05/2020;Internivelar
29200014-CEP Málaga;209922CI005B;IMPULSA FORMACIÓN;Curso Semipresencial;Actividad en desarrollo;12/03/2020;30/05/2020;Internivelar
29200014-CEP Málaga;209922EO003;FORMACIÓN PARA EL USO DE LAS NUEVAS HOJAS DE OBSERVACIÓN DE LAS PRUEBAS ESPECÍFICAS TERMINALES DE CERTIFICACIÓN;Jornadas;Terminada;24/01/2020;24/01/2020;Enseñanzas de regimen especial
29200014-CEP Málaga;209922FP005;LA SALUD ESTÁ EN TU MANO;Curso Semipresencial;Actividad en desarrollo;29/10/2019;29/04/2020;Form. profesional y art. plast. y diseño
29200014-CEP Málaga;209922FP009;SIMULADORES PARA EL DIAGNÓSTICO POR IMAGEN DE LA FAMILIA DE SANIDAD;Curso;Terminada;20/11/2019;04/12/2019;Form. profesional y art. plast. y diseño
29200014-CEP Málaga;209922KAV147;USO DE LA PLATAFORMA MOODLE CENTROS;Curso a Distancia;Terminada;23/03/2020;23/04/2020;Internivelar
29200014-CEP Málaga;209922PF003;FORMACIÓN PARA LA MENTORIZACIÓN DE FUNCIONARIOS EN PRÁCTICAS;Curso Semipresencial;Terminada;13/11/2019;26/11/2019;Internivelar
29200014-CEP Málaga;209922PF006;FORMACIÓN PERSONAL FUNCIONARIO EN PRÁCTICAS PRIMARIA 2019-20. FASE ON-LINE;Curso a Distancia;Terminada;25/11/2019;31/03/2020;Internivelar
29200014-CEP Málaga;209922PF015;LA INVESTIGACIÓN AEROESPACIAL APLICADA AL AULA. PROYECTO ESERO KIT 1;Curso Semipresencial;Actividad en desarrollo;28/11/2019;18/05/2020;Educación secundaria obligatoria
29200014-CEP Málaga;209922PF037;LA OBSERVACIÓN PROFESIONAL. ESCUELAS MENTORAS;Curso Semipresencial;Actividad en desarrollo;13/02/2020;31/05/2020;Internivelar
29200014-CEP Málaga;209922PI001;JORNADAS INICIALES ERASMUS+;Jornadas;Terminada;02/12/2019;02/12/2019;Internivelar
29200014-CEP Málaga;209922PI011;JORNADA TRINITY: EL PORTFOLIO COMO HERRAMIENTA PARA LA ENSEÑANZA DE LA EXPRESIÓN ESCRITA;Jornadas;Terminada;14/11/2019;14/11/2019;Internivelar
29200014-CEP Málaga;209922PI012;CURSO DE FORMACIÓN DE FORMADORES Y FORMADORAS DEL PROFESORADO DE FRANCÉS LENGUA EXTRANJERA;Curso Semipresencial;Actividad en desarrollo;14/11/2019;31/05/2020;Otros
29200014-CEP Málaga;209922PI016;JORNADA CAMBRIDGE: PLANIFICACIÓN DE UNA CLASE AICLE;Curso Semipresencial;Terminada;13/02/2020;24/02/2020;Internivelar
29200014-CEP Málaga;209922PI021;ENCUENTRO CENTROS LABEL FRANCÉDUCATION 2020;Encuentro;Borrador;15/04/2020;15/04/2020;Internivelar
29200038-CEP Ronda;20K9924AV058;INTRODUCCIÓN A LAS COMUNIDADES DE APRENDIZAJE;Curso a Distancia;Terminada;30/10/2019;11/12/2019;Internivelar
29200038-CEP Ronda;20Q9924CE143;INNICIA: HERRAMIENTAS PARA EL EMPRENDIMIENTO EDUCATIVO;Curso a Distancia;Terminada;04/02/2020;03/04/2020;Internivelar
29200038-CEP Ronda;20Q9924EA188;PROYECTO EDUCAVES;Curso a Distancia;Terminada;04/02/2020;10/03/2020;Internivelar
29200038-CEP Ronda;202924GE071;EDUCACIÓN. I CONGRESO INTERNACIONAL DE EDUCACIÓN;Congreso;Suspendida;18/03/2020;19/03/2020;Internivelar
29200038-CEP Ronda;209924PF006;JORNADAS PROVINCIALES DE DIRECTORES Y DIRECTORAS: PROCESO DE DIGITALIZACIÓN DE LOS CENTROS;Jornadas;Suspendida;04/06/2020;04/06/2020;Equipos directivos
29200041-CEP Antequera;20K9925AV068;EL APRENDIZAJE COOPERATIVO COMO ESTRATEGIA DE GESTIÓN DEL AULA;Curso a Distancia;Terminada;30/10/2019;11/12/2019;Internivelar
29200041-CEP Antequera;202925FP001;ACTUALIZACIÓN EN TÉCNICAS DE RADIOTERAPIA: BRAQUITERAPIA, TELETERAPIA Y SIMULACIÓN DEL TRATAMIENTO;Curso;Suspendida;18/03/2020;16/05/2020;Form. profesional y art. plast. y diseño
29200041-CEP Antequera;202925FP002;ACTUALIZACIÓN EN EMERGENCIAS: MANEJO DE MATERIAL ELECTROMÉDICO Y PROCEDIMIENTOS DE MOVILIZACIÓN E INMOVILIZACIÓN DE PACIENTES;Curso;Suspendida;19/03/2020;31/05/2020;Form. profesional y art. plast. y diseño
29200041-CEP Antequera;202925FP003;SIMULACIÓN Y VIRTUALIZACION DE APARATOS KNX Y USO DE LA HERRAMIENTA ETS5 (II);Curso con Seguimiento;Terminada;11/09/2019;11/09/2019;Form. profesional y art. plast. y diseño
29200041-CEP Antequera;202925FP004;CODIFICACIÓN DE DIAGNOSTICOS Y PROCEDIMIENTOS CON CIE 10 ES;Curso con Seguimiento;Suspendida;23/09/2019;31/10/2019;Form. profesional y art. plast. y diseño
29200041-CEP Antequera;202925FP005;EVALUACIÓN Y PROGRAMACIÓN EN F.P. LOE;Curso con Seguimiento;Terminada;01/10/2019;12/11/2019;Form. profesional y art. plast. y diseño
29200041-CEP Antequera;202925FP006;INSTALACIONES FRIGORÍFICAS Y CLIMATIZACIÓN;Curso;Terminada;22/10/2019;15/12/2019;Form. profesional y art. plast. y diseño
29200041-CEP Antequera;202925FP007;INICIACIÓN A PROYECTOS ERASMUS + E INTERNACIONALIZACIÓN DE LA FORMACIÓN PROFESIONAL.;Curso;Terminada;20/11/2019;03/12/2019;Form. profesional y art. plast. y diseño
29200041-CEP Antequera;202925FP015;GESTIÓN ADMINISTRATIVA Y ECONÓMICA DE PROYECTOS ERASMUS + EN FORMACIÓN PROFESIONAL;Curso con Seguimiento;Terminada;10/02/2020;05/03/2020;Form. profesional y art. plast. y diseño
29200041-CEP Antequera;202925FP016;REPARACIÓN Y SEGURIDAD DE DISPOSITIVOS MÓVILES;Curso;Suspendida;15/04/2020;20/05/2020;Form. profesional y art. plast. y diseño
29200041-CEP Antequera;202925FP017;SEGURIDAD ALIMENTARIA;Curso a Distancia;En proyecto;30/04/2020;30/06/2020;Form. profesional y art. plast. y diseño
29200041-CEP Antequera;202925GE219;XX JORNADAS DE INNOVACIÓN PEDAGÓGICA DE ANTEQUERA;Jornadas;Suspendida;13/03/2020;14/03/2020;Internivelar
29200041-CEP Antequera;202925GE604;JORNADAS DE BUENAS PRÁCTICAS SOBRE GAMIFICACIÓN;Jornadas;Terminada;11/01/2020;11/01/2020;Internivelar
29200041-CEP Antequera;202925GE613;LA LABOR DE LA INSPECCIÓN DE EDUCACIÓN EN LA EVALUACIÓN Y SEGUIMIENTO DE CENTROS DOCENTES, SERVICIOS, PROGRAMAS Y ACTIVIDADES DEL SISTEMA EDUCATIVO;Jornadas;Terminada;16/01/2020;16/01/2020;Inspección educativa
29200041-CEP Antequera;202925GE614;EDUCACIÓN. I CONGRESO INTERNACIONAL DE EDUCACIÓN;Congreso;Suspendida;18/03/2020;19/03/2020;Internivelar
29200041-CEP Antequera;209925FP007;JORNADA DE FORMACIÓN SÉNECA EXÁMENES ONLINE;Curso;Terminada;19/11/2019;19/11/2019;Form. profesional y art. plast. y diseño
29200041-CEP Antequera;209925FP010;CURSO  ON LINE DE PRÁCTICA EN SIMULADORES DE IMAGEN PARA FAMILIA PROFESIONAL DE SANIDAD;Curso a Distancia;Terminada;05/12/2019;20/12/2019;Form. profesional y art. plast. y diseño
29200041-CEP Antequera;209925FP011;CURSO EN ROBOTSTUDIO ANIMATION;Curso;Terminada;18/11/2019;22/11/2019;Form. profesional y art. plast. y diseño
29200041-CEP Antequera;209925FP012;IV ENCUENTRO DE CENTROS DE CALIDAD;Encuentro;Terminada;28/11/2019;28/11/2019;Form. profesional y art. plast. y diseño
29200041-CEP Antequera;209925FP013;JORNADAS REGIONALES DE ASESORÍAS DE FORMACIÓN PROFESIONAL;Jornadas;Terminada;12/12/2019;13/12/2019;Form. profesional y art. plast. y diseño
29200041-CEP Antequera;209925PF040;JORNADAS DE RESIDENCIAS ESCOLARES;Jornadas;Borrador;24/06/2020;25/06/2020;Comunidad educativa
29200051-CEP Vélez-Málaga;20K9926AV039;EL MCERL EN LA PROGRAMACIÓN DE AULA DE LAS ÁREAS LINGÜÍSTICAS;Curso a Distancia;Terminada;30/10/2019;11/12/2019;Internivelar
29200051-CEP Vélez-Málaga;202926AR509;CONTROL DE LA ANSIEDAD ESCÉNICA DEL ALUMNADO. MOTIVACIÓN EN EL AULA;Conferencia;Suspendida;26/03/2020;27/03/2020;Enseñanzas de regimen especial
29200051-CEP Vélez-Málaga;202926CA507;COMUNIDADES DE APRENDIZAJE. FASE DE SENSIBILIZACIÓN  (C) 2019-2020;Curso Semipresencial;Terminada;04/11/2019;15/02/2020;Internivelar
29200051-CEP Vélez-Málaga;202926FP011;REPARACIÓN Y SEGURIDAD DE DISPOSITIVOS MÓVILES;Curso;Suspendida;19/02/2020;22/04/2020;Form. profesional y art. plast. y diseño
29200051-CEP Vélez-Málaga;202926FP012;VIRTUALIZACIÓN DE SERVIDORES CON PROXMOX;Curso;Suspendida;13/04/2020;27/04/2020;Form. profesional y art. plast. y diseño
29200051-CEP Vélez-Málaga;202926FP013;REPARACIÓN Y SEGURIDAD DE DISPOSITIVOS MÓVILES (Zona Axarquía);Curso;Suspendida;21/04/2020;14/05/2020;Form. profesional y art. plast. y diseño
29200051-CEP Vélez-Málaga;202926GE509;VI JORNADAS PROVINCIALES DE EDUCACIÓN FISICA: EDUCACIÓN FÍSICA Y SALUD;Jornadas;Suspendida;20/05/2020;21/05/2020;Internivelar
29200051-CEP Vélez-Málaga;202926GE805;EDUCACIÓN. I CONGRESO INTERNACIONAL DE EDUCACIÓN;Congreso;Suspendida;18/03/2020;19/03/2020;Internivelar
04200019-CEP Almería;20K9901AV061;GEOGEBRA COMO HERRAMIENTA DIDÁCTICA EN EL AULA;Curso a Distancia;Terminada;30/10/2019;11/12/2019;Educación secundaria obligatoria
04200019-CEP Almería;20401GE084;VIII ENCUENTRO EN ANDALUCÍA. GEOGEBRA EN EL AULA;Jornadas;Suspendida;20/03/2020;21/03/2020;Internivelar
04200019-CEP Almería;20401GE109;METODOLOGÍAS Y HERRAMIENTAS PARA INCENTIVAR EL APRENDIZAJE EN FORMACIÓN PROFESIONAL BÁSICA;Curso a Distancia;Actividad en desarrollo;18/05/2020;15/06/2020;Form. profesional y art. plast. y diseño
04200020-CEP El Ejido;20K9902AV198;EDICIÓN DE PARTITURAS CON MUSESCORE;Curso a Distancia;Terminada;30/10/2019;11/12/2019;Enseñanzas de regimen especial
04200020-CEP El Ejido;20Q9902AV198;EDICIÓN DE PARTITURAS CON MUSESCORE;Curso a Distancia;Terminada;04/02/2020;31/03/2020;Enseñanzas de regimen especial
04200032-CEP Cuevas - Olula;20K9903AV071;LAS MATEMÁTICAS QUE NOS RODEAN;Curso a Distancia;Terminada;30/10/2019;11/12/2019;Educación secundaria obligatoria
04200032-CEP Cuevas - Olula;20Q9903CLT141;AULA DE CINE. ¡LLEVA EL CINE A LAS AULAS!;Curso a Distancia;Terminada;04/02/2020;10/03/2020;Internivelar
04200032-CEP Cuevas - Olula;209903FP010;CURSO  ON LINE DE PRÁCTICA EN SIMULADORES DE IMAGEN PARA FAMILIA PROFESIONAL DE SANIDAD;Curso a Distancia;Terminada;05/12/2019;20/12/2019;Form. profesional y art. plast. y diseño
11200011-CEP Cádiz;20K9904AV043;BLOG AVERROES EN EL AULA;Curso a Distancia;Terminada;30/10/2019;11/12/2019;Internivelar
11200011-CEP Cádiz;20K9904AV070;PROGRAMACIÓN DE VIDEOJUEGOS CON SCRATCH COMO HERRAMIENTA EDUCATIVA;Curso a Distancia;Terminada;30/10/2019;11/12/2019;Internivelar
11200011-CEP Cádiz;20Q9904AV070;PROGRAMACIÓN DE VIDEOJUEGOS CON SCRATCH COMO HERRAMIENTA EDUCATIVA;Curso a Distancia;Terminada;04/02/2020;31/03/2020;Internivelar
11200011-CEP Cádiz;201104MDFP019;ORGANIZACIÓN DE EVENTOS Y PROTOCOLO;Curso;Terminada;25/11/2019;28/11/2019;Form. profesional y art. plast. y diseño
11200011-CEP Cádiz;201104MDFP026;CONGRESO PARA LA INTERNACIONALIZACIÓN DE LA FP EN ANDALUCÍA;Congreso;Terminada;29/11/2019;30/11/2019;Form. profesional y art. plast. y diseño
11200011-CEP Cádiz;201104MDFP035;CONCEPTOS DE DISEÑO Y PREIMPRESIÓN;Curso a Distancia;Actividad en desarrollo;04/05/2020;29/05/2020;Form. profesional y art. plast. y diseño
11200011-CEP Cádiz;201104MDFP036;GESTIÓN DE PROYECTOS ERASMUS+ DE FORMACIÓN PROFESIONAL EN CENTROS DOCENTES ANDALUCES;Curso a Distancia;Actividad en desarrollo;27/04/2020;29/05/2020;Form. profesional y art. plast. y diseño
