Título:;ACTIVIDADES FORMATIVAS CEP;;;;;;
Autor:;Aplicación Séneca, CONSEJERÍA DE EDUCACIÓN Y DEPORTE, Junta de Andalucía;;;;;;
Fecha de creación:;26/05/2020 - 08:53;;;;;;
;;;;;;;
Centro;Código;Título;Modalidad;Estado;Fecha inicio;Fecha fin;Dirigido a
29200026-CEP Marbella - Coín;202923GES253;INTEGRACIÓN DE LAS COMPETENCIAS CLAVE  NIVEL 1 EN EL ÁMBITO EDUCATIVO DEL CEIP LA PALOMA;Curso con Seguimiento;Actividad en desarrollo;18/11/2019;08/06/2020;Educación primaria
29200026-CEP Marbella - Coín;202923GES254;INTEGRACIÓN DE LAS COMPETENCIAS CLAVE NIVEL 1 EN EL ÁMBITO EDUCATIVO DEL CEIP MARIANA PINEDA;Curso Semipresencial;Actividad en desarrollo;27/01/2020;18/05/2020;Educación primaria
29200026-CEP Marbella - Coín;202923GES255;TRANSFORMA-ACCIÓN- PROGRAMA CAMBIO MOTOR: TALLER DE PROGRAMACIÓN POR COMPETENCIAS PARA SECUNDARIA;Curso con Seguimiento;Actividad en desarrollo;11/03/2020;15/05/2020;Educación secundaria obligatoria
29200026-CEP Marbella - Coín;202923GES256;TRANSFORMA-ACCIÓN - PROGRAMA CAMBIO MOTOR: DAME UN REA Y CAMBIARÉ EL MUNDO;Curso;Suspendida;09/03/2020;20/04/2020;Educación secundaria obligatoria
29200026-CEP Marbella - Coín;202923GES257;PRIMEROS AUXILIOS EN URGENCIAS MÁS FRECUENTES;Curso con Seguimiento;Suspendida;22/04/2020;06/05/2020;Internivelar
29200026-CEP Marbella - Coín;202923GES302;AUDIOVISUALES PARA LA CONVIVENCIA EN RELIGIÓN.;Curso con Seguimiento;Terminada;12/11/2019;21/11/2019;Internivelar
29200026-CEP Marbella - Coín;202923GES305;COMPETENCIAS CLAVE EN EL CEIP JUAN RAMÓN JIMÉNEZ.;Curso con Seguimiento;Terminada;23/10/2019;15/05/2020;Internivelar
29200026-CEP Marbella - Coín;202923GES306;GAMIFICACION: APRENDEMOS JUGANDO;Curso con Seguimiento;Suspendida;14/04/2020;29/04/2020;Internivelar
29200026-CEP Marbella - Coín;202923GES408;BREVE TALLER DE ESCRITURA CREATIVA;Curso a Distancia;Terminada;07/05/2020;21/05/2020;Internivelar
29200026-CEP Marbella - Coín;202923GES470;TRANSFORMA-ACCIÓN: PROGRAMA MATEMORFOSIS;Curso con Seguimiento;Terminada;28/10/2019;02/04/2020;Educación primaria
